compoundId,Biosample-(GxtoGx)_4G__G2.5Q2_R1 (4) | Sample Number=137,Biosample-(GxtoGx)_4G__G2.5Q2_R2 (2) | Sample Number=141,Biosample-(GxtoGx)_4G__G2.5Q2_R3 (2) | Sample Number=145,Biosample-(GxtoGx)_4G__G2.5Q2_R4 (2) | Sample Number=149,Biosample-(GxtoGx)_4G__G5Q2_R1 (3) | Sample Number=138,Biosample-(GxtoGx)_4G__G5Q2_R2 (2) | Sample Number=142,Biosample-(GxtoGx)_4G__G5Q2_R3 (2) | Sample Number=146,Biosample-(GxtoGx)_4G__G5Q2_R4 (2) | Sample Number=150,Biosample-(GxtoGx)_4G__G7Q2_R1 (2) | Sample Number=139,Biosample-(GxtoGx)_4G__G7Q2_R2 (2) | Sample Number=143,Biosample-(GxtoGx)_4G__G7Q2_R3 (2) | Sample Number=147,Biosample-(GxtoGx)_4G__G7Q2_R4 (2) | Sample Number=151,Biosample-(GxtoGx)_4G__G9Q2_R1 (2) | Sample Number=140,Biosample-(GxtoGx)_4G__G9Q2_R2 (2) | Sample Number=144,Biosample-(GxtoGx)_4G__G9Q2_R3 (2) | Sample Number=148,Biosample-(GxtoGx)_4G__G9Q2_R4 (2) | Sample Number=152,Biosample-(GxtoGx)_5G__G2.5Q2_R1 (2) | Sample Number=153,Biosample-(GxtoGx)_5G__G2.5Q2_R2 (2) | Sample Number=157,Biosample-(GxtoGx)_5G__G2.5Q2_R3 (2) | Sample Number=161,Biosample-(GxtoGx)_5G__G2.5Q2_R4 (2) | Sample Number=165,Biosample-(GxtoGx)_5G__G5Q2_R1 (2) | Sample Number=154,Biosample-(GxtoGx)_5G__G5Q2_R2 (2) | Sample Number=158,Biosample-(GxtoGx)_5G__G5Q2_R3 (2) | Sample Number=162,Biosample-(GxtoGx)_5G__G5Q2_R4 (2) | Sample Number=166,Biosample-(GxtoGx)_5G__G7Q2_R1 (2) | Sample Number=155,Biosample-(GxtoGx)_5G__G7Q2_R2 (2) | Sample Number=159,Biosample-(GxtoGx)_5G__G7Q2_R3 (2) | Sample Number=163,Biosample-(GxtoGx)_5G__G7Q2_R4 (2) | Sample Number=167,Biosample-(GxtoGx)_5G__G9Q2_R1 (2) | Sample Number=156,Biosample-(GxtoGx)_5G__G9Q2_R2 (2) | Sample Number=160,Biosample-(GxtoGx)_5G__G9Q2_R3 (2) | Sample Number=164,Biosample-(GxtoGx)_5G__G9Q2_R4 (2) | Sample Number=168,Biosample-(GxtoGx)_12Q__G2.5Q2_R1 (2) | Sample Number=169,Biosample-(GxtoGx)_12Q__G2.5Q2_R2 (2) | Sample Number=173,Biosample-(GxtoGx)_12Q__G2.5Q2_R3 (2) | Sample Number=177,Biosample-(GxtoGx)_12Q__G2.5Q2_R4 (2) | Sample Number=181,Biosample-(GxtoGx)_12Q__G5Q2_R1 (2) | Sample Number=170,Biosample-(GxtoGx)_12Q__G5Q2_R2 (2) | Sample Number=174,Biosample-(GxtoGx)_12Q__G5Q2_R3 (2) | Sample Number=178,Biosample-(GxtoGx)_12Q__G5Q2_R4 (2) | Sample Number=182,Biosample-(GxtoGx)_12Q__G7Q2_R1 (2) | Sample Number=171,Biosample-(GxtoGx)_12Q__G7Q2_R2 (2) | Sample Number=175,Biosample-(GxtoGx)_12Q__G7Q2_R3 (2) | Sample Number=179,Biosample-(GxtoGx)_12Q__G7Q2_R4 (2) | Sample Number=183,Biosample-(GxtoGx)_12Q__G9Q2_R1 (2) | Sample Number=172,Biosample-(GxtoGx)_12Q__G9Q2_R2 (2) | Sample Number=176,Biosample-(GxtoGx)_12Q__G9Q2_R3 (2) | Sample Number=180,Biosample-(GxtoGx)_12Q__G9Q2_R4 (2) | Sample Number=184,Blk (3) | Sample Number=242,Std1-50uM (2) | Sample Number=233,Std2 (5) | Sample Number=234,Std3 (2) | Sample Number=235,Std4 (2) | Sample Number=236,Std5 (2) | Sample Number=237,Std6 (2) | Sample Number=238,Std7 (2) | Sample Number=239,Std8 (2) | Sample Number=240,Std9 (2) | Sample Number=241
Aspartate 132/88,4387224.5,5177593.5,5246346,5371652.5,3519678,4404298.5,4407347.5,4532583.5,2607674.5,3497091.25,3143097,3386446.75,2139474.25,2706872.25,2483899.25,2636700.25,4793859.5,5832258,6075590,4884259.5,3417267.75,3808877.25,3629920.75,3791213.25,2502956.75,2919634.25,3029277,2855744.75,1939599.12,2195891.75,2475811,2013807.38,2419076.75,2780802.25,2654048,2936619.75,2444009,2876413.75,3287905.25,2599778,2070344.62,2389126,2621365.25,2164625.5,2158144,2387256,2533350.25,2302800,1298.87,190906.19,146872.56,66538.28,45492.19,24508.51,13267.4,5354.21,2440.4,270.65
Aspartate 133/88,57645.03,66892.67,70733.6,70900.01,62687.03,79260.36,76131.41,73984.02,82562.66,107035.03,96711.7,106048.45,98556.03,125057.7,126866.09,128356.94,204919.06,245791.62,259200.06,218312.44,316298.53,353226.25,346943.41,354495.38,253768.45,292972.38,321257.03,286300.5,193551.81,215725.36,241799.52,204867.52,1137309.88,1385308.12,1266671.88,1401479,889247.75,1044964.69,1133913,894790.56,546177.69,642744.81,693106.44,606152.25,462427.62,513264.12,502186.59,480446.25,24.18,2032.94,1577.24,687.67,427.03,344.88,149.31,58.32,34.17,34.75
Aspartate 133/89,184978,215868.33,223046,216723,177724,218625.33,214972.33,227662.33,186207.33,244732,225531.67,245690,195026.33,244948.33,244078.33,255942.02,366822,455439.66,472374.78,392581.66,552960.69,646932,638004.69,673273.69,672520.38,735655.31,797836.69,734302,605216,664615.19,784532.69,603329.81,1253600.12,1572268,1393166,1538357.38,1025338.31,1191142.38,1289486.62,1035729.31,637855.69,747455,808657,719959.81,517569.41,615938.69,640167.12,580481,52.31,6795.9,5195.43,2613.7,1674.72,1057.29,552.32,293.75,119.83,70.42
Aspartate 134/89,2642.33,2795,2962.33,3010.33,2742.33,3636,3545.67,3856,4654,5781.67,5098.33,6336,5691,6197.67,7215.67,7311,11148.67,14461.68,15810.19,12645.33,37378.01,41803.73,43819.19,43220.52,56310.67,64594.73,66509.38,64550.39,54673.57,60619.02,71949.85,54602.19,106925.41,133259.42,121007.38,132915.09,92497.73,106777.4,114361.4,91898.66,54328.86,63789.33,70474.87,54407.58,44105.54,52442,52553.35,52572.02,4.67,48,33.33,24,4.67,28.67,24,4.67,4.67,4.67
Aspartate 134/90,19127.67,26075.41,25841.7,25267.01,18477.01,22870.7,21695.62,22799.33,15226.01,21121.55,18018.87,20308.76,13538.75,16842,16593.25,17057.37,29786.07,34885,34962.52,31049.83,36225.08,41425.35,43235.01,44837.68,47569.68,52132.06,56482.67,52868.36,45530.73,52355.34,58698.68,41657.76,68449.38,87694.66,75169.34,90657.35,61802.68,71299.04,78682.7,63159.54,40559.68,50718.83,37579.11,49287.36,36095.74,41257.67,42005.41,47187.05,12.04,914.85,683.72,275.06,244.28,83.37,59.19,47,26.8,5.41
Glutamate 146.1/102.1,1052808,1280470,1281061.38,1254127.62,1445094,1707493,1696024.62,1647796.38,1519401.62,1920923,1754867.62,1892463.38,1611293,1960158.38,1852760,1872485.62,1080447,1332697.38,1238221,1089983.62,1349727.38,1458636.62,1405761.38,1446194.62,1303941,1468364,1445978.38,1444960.38,1127023.62,1345927.62,1428430.38,1167865.38,391523.34,421046,442382,470509.66,631812,736463.69,797531,663258.69,706548.31,841691,870420.69,746076.31,793757.31,954878.31,872136.31,915414.69,549.61,321726.53,236796.33,110709.74,67222.7,38310.06,17071.9,6768.1,2549.01,765.84
Glutamate 147.1/102.1,13769.33,15679.67,15642.33,15145.33,18713.67,20896.33,22000.33,21137,20130.67,25638.33,23450.67,25321,22395.33,27007.33,25805.67,25871,77535.66,95152.34,94646.66,77483.34,233737.67,247027.33,245906,255114,270160.34,302227.34,286828.66,292689,238671.67,280567.03,297169.34,248782,14771.67,16648.67,16506,18180,20787,24482,26217,22957.67,20705.33,24689.67,25552.67,21422,20404,25557.33,23553,24677.67,118.68,4030.34,2271.67,1209.02,943.67,484.01,277.04,93.46,46.22,60.67
Glutamate 147.1/103.1,56272,66422,65894.66,65286.33,78460,92197,88991,93376,92453.34,118998,105068.34,113856.66,114133.34,133011.33,126782.34,129105,77137.66,91206.04,92076.02,76835.66,159185,164458,170094,170780.33,211344.33,232452,237939.33,229656.67,199144.67,234839.67,262571.66,213301.33,121919.34,143012.33,140684.67,147570,175303,200926.67,223941,180608.33,168568.67,202961.67,211456.67,176775.67,171631.67,204995.33,191575.67,200293.67,214.82,16161.01,12528.84,5715.38,3231.99,2084.79,807.97,446.7,283.53,289
Glutamate 148.1/103.1,737,708.67,802.33,765.67,981.33,1123.86,1372,1135.67,1132,1547.34,1543.33,1555.34,1368,1889,1885,1592,6851.33,7967.33,8308.34,7173,46089.67,49636.67,50399.33,51410.67,85463.34,88215.66,90337.66,90330.66,79718.01,95208.66,107514.34,88232,53551.33,65041.67,61651.33,65596.66,63389.67,70113.66,79919.34,66135.34,55696.67,69415.34,71458.66,61264,57409.67,72292,68942,70476.66,33.4,211.67,98.4,69.33,45.34,38.31,41,40.67,32.33,36.67
Glutamate 148.1/104.1,5683.09,6761.67,6859.33,6692,8150,8935.67,9184.67,9368,8589.33,11040.67,9407.67,10246.33,10112.67,12051,10641.67,10979.33,6640,8647.33,7710,6798,14074.67,14982.67,14526.33,15072.33,22953.34,24041.67,25108.67,25194.33,23626,27760.67,31188.33,24839.67,567866.31,689324.69,638281.31,700516,694014,767027.31,857681,696359,610651.69,738943.31,776829,644948.69,647263,786274.31,741832.69,780139.69,73.67,1547.34,1327,716.34,374.33,227.98,170.67,102.9,63.55,41.4
