compoundid,3PG 185.06/97.06,3PG 186.06/97.06,Lactate 89.07/89.07,Lactate 90.07/90.07,PEP 167.13/79.13,PEP 168.13/79.13,Pyruvate 87.04/87.04,Pyruvate 88.04/88.04,Succinate 117.09/73.09,Succinate 118.09/73.09,Succinate 118.09/74.09,Taurine 124/80,Taurine 126/82,Taurine 128/80,Malate 133.09/115.09,Malate 134.09/116.09,Malate 135.09/117.09
biosample-(gxtogx)_4g__g2.5q2_r1 (2) | sample number=16,0.7867572794520712,0.21324272054792875,0.9689740819741115,0.031025918025888426,0.8138344403321726,0.1861655596678275,0.8553419755158806,0.14465802448411938,0.9919833643074336,0.0012921382153710439,0.0067244974771952706,1.0,1.0,,0.9923689813526919,0.0031032369483681562,0.004527781698940053
biosample-(gxtogx)_4g__g2.5q2_r2 | sample number=20,0.773157672718717,0.22684232728128292,0.9486737313867286,0.05132626861327133,0.6554096722305821,0.3445903277694179,0.8363728503853939,0.16362714961460617,0.9881237847183053,0.0003508818823583173,0.011525333399336276,1.0,1.0,,0.996867511822368,0.0031324881776320563,0.0
biosample-(gxtogx)_4g__g2.5q2_r3 | sample number=24,0.7720194597863731,0.22798054021362688,0.9163811354704955,0.08361886452950454,0.7289511102401988,0.27104888975980124,0.8404872952696663,0.15951270473033372,0.9933962173300833,0.0019677581619267784,0.004636024507989907,1.0,1.0,,0.9906461665097978,0.007732616599049879,0.001621216891152297
biosample-(gxtogx)_4g__g2.5q2_r4 | sample number=28,0.7730336006320161,0.22696639936798396,0.9414904337607078,0.05850956623929225,0.666517540929676,0.3334824590703241,0.8382876289583175,0.16171237104168248,0.9927447420705308,0.0,0.007255257929469288,1.0,1.0,,0.9934679972644984,0.006532002735501623,0.0
biosample-(gxtogx)_4g__g5q2_r1 | sample number=17,0.6935328153925844,0.3064671846074157,0.9333291388984235,0.0666708611015765,0.7954039037156209,0.20459609628437903,0.6935563207621566,0.30644367923784344,0.9973222313081784,0.0007195804461995725,0.0019581882456220527,1.0,1.0,,0.9811190346383806,0.01857120526692524,0.0003097600946943352
biosample-(gxtogx)_4g__g5q2_r2 | sample number=21,0.6660232603504824,0.3339767396495176,0.9474720191635074,0.05252798083649255,0.7915945608027386,0.20840543919726143,0.7237732815834269,0.27622671841657315,0.8885212602110371,0.0,0.11147873978896299,1.0,1.0,,0.9755142550588988,0.0228350674647322,0.0016506774763690739
biosample-(gxtogx)_4g__g5q2_r3 | sample number=25,0.645503969678859,0.354496030321141,0.7674058115469398,0.23259418845306024,0.6274467723766118,0.3725532276233882,0.6967898493433978,0.3032101506566021,0.9941648515133317,0.0,0.0058351484866684174,1.0,1.0,,0.9778063679886538,0.021925975787170635,0.00026765622417560013
biosample-(gxtogx)_4g__g5q2_r4 | sample number=29,0.7004578339138111,0.2995421660861889,0.7672773453180546,0.23272265468194542,0.6916446264650914,0.30835537353490855,0.6847912169688176,0.3152087830311823,0.9972367930295588,0.00036409902389263597,0.0023991079465486747,1.0,1.0,,0.9786652083169335,0.017078468138254244,0.004256323544812235
biosample-(gxtogx)_4g__g7q2_r1 | sample number=18,0.6986107643998587,0.30138923560014136,0.9497893452636877,0.050210654736312144,0.6375155669967751,0.3624844330032249,0.664062008371996,0.335937991628004,0.9983792790039651,0.0,0.00162072099603493,1.0,1.0,,0.9417663695138138,0.052442424916314824,0.005791205569871337
biosample-(gxtogx)_4g__g7q2_r2 | sample number=22,0.5860277214512001,0.4139722785487999,0.8261160376653527,0.17388396233464737,0.5601691083870668,0.4398308916129332,0.6581419693467594,0.3418580306532406,0.997054926076908,0.0029450739230920038,0.0,1.0,1.0,,0.9386191343075307,0.058618972564641186,0.0027618931278279375
