Original.Sample.Name,Sample.Name,GroupLevel1,GroupLevel2,GroupLevel3,Replicate,Biol.Rep,Sample.Number,Concentration,DilutionFactor,DilutionReference,Tracer
Biosample-(GxtoGx)_4G__G2.5Q2_R1 (4) | Sample Number=137,(GxtoGx)_4G__G2.5Q2_R1,G2.5Q2,,,1,1,137,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G2.5Q2_R2 (2) | Sample Number=141,(GxtoGx)_4G__G2.5Q2_R2,G2.5Q2,,,1,2,141,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G2.5Q2_R3 (2) | Sample Number=145,(GxtoGx)_4G__G2.5Q2_R3,G2.5Q2,,,1,3,145,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G2.5Q2_R4 (2) | Sample Number=149,(GxtoGx)_4G__G2.5Q2_R4,G2.5Q2,,,1,4,149,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R1 (3) | Sample Number=138,(GxtoGx)_4G__G5Q2_R1,G5Q2,,,1,1,138,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R2 (2) | Sample Number=142,(GxtoGx)_4G__G5Q2_R2,G5Q2,,,1,2,142,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R3 (2) | Sample Number=146,(GxtoGx)_4G__G5Q2_R3,G5Q2,,,1,3,146,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R4 (2) | Sample Number=150,(GxtoGx)_4G__G5Q2_R4,G5Q2,,,1,4,150,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G7Q2_R1 (2) | Sample Number=139,(GxtoGx)_4G__G7Q2_R1,G7Q2,,,1,1,139,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G7Q2_R2 (2) | Sample Number=143,(GxtoGx)_4G__G7Q2_R2,G7Q2,,,1,2,143,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G7Q2_R3 (2) | Sample Number=147,(GxtoGx)_4G__G7Q2_R3,G7Q2,,,1,3,147,0,1,,13C-Glc
